date,stix,malpedia,secnews,cve
2014-11-03,109,1,3,17
2014-11-04,46,1,10,44
2014-11-05,195,0,13,18
2014-11-06,216,0,8,23
2014-11-07,89,0,8,19
2014-11-08,91,1,0,7
2014-11-09,12,0,0,0
2014-11-10,116,4,7,17
2014-11-11,46,1,5,50
2014-11-12,63,1,0,3
2014-11-13,37,4,12,8
2014-11-14,46,2,12,8
2014-11-15,42,1,0,12
2014-11-16,34,0,0,22
2014-11-17,37,0,20,14
2014-11-18,16,0,19,28
2014-11-19,56,1,5,24
2014-11-20,26,0,6,21
2014-11-21,51,1,0,13
2014-11-22,31,0,1,0
2014-11-23,22,0,0,9
2014-11-24,18,3,0,38
2014-11-25,20,2,2,20
2014-11-26,41,2,6,18
2014-11-27,20,1,0,1
2014-11-28,25,0,0,16
2014-11-29,25,0,0,0
2014-11-30,29,1,0,13
2014-12-01,16,2,5,12
2014-12-02,75,0,8,20
2014-12-03,265,0,9,14
2014-12-04,31,1,12,7
2014-12-05,34,0,10,29
2014-12-06,43,0,1,8
2014-12-07,15,0,0,2
2014-12-08,22,2,6,33
2014-12-09,16,4,6,17
2014-12-10,36,1,8,65
2014-12-11,22,1,16,50
2014-12-12,31,0,6,31
2014-12-13,22,0,0,2
2014-12-14,3,0,0,0
2014-12-15,9,1,11,29
2014-12-16,3,1,5,22
2014-12-17,6,1,6,18
2014-12-18,15,3,3,22
2014-12-19,53,2,2,47
2014-12-20,45,0,0,9
2014-12-21,2,0,0,0
2014-12-22,95,0,6,10
2014-12-23,8,0,6,13
2014-12-24,35,0,6,31
2014-12-25,10,0,0,5
2014-12-26,19,0,0,20
2014-12-27,18,0,1,14
2014-12-28,20,0,0,13
2014-12-29,29,0,4,9
2014-12-30,7148,0,8,4
2014-12-31,15290,0,8,27
2015-01-01,13,0,0,0
2015-01-02,515,0,5,21
2015-01-03,24,0,0,1
2015-01-04,28,0,0,6
2015-01-05,24,0,9,13
2015-01-06,50,1,9,6
2015-01-07,30,0,6,18
2015-01-08,6571,2,2,9
2015-01-09,37,1,8,28
2015-01-10,306,0,0,17
2015-01-11,26,1,0,0
2015-01-12,28,1,14,6
2015-01-13,1982,1,18,81
2015-01-14,757,1,13,18
2015-01-15,556,1,14,35
2015-01-16,794,0,13,34
2015-01-17,381,0,0,14
2015-01-18,268,0,0,5
2015-01-19,783,0,9,0
2015-01-20,270,2,15,8
2015-01-21,514,0,13,163
2015-01-22,536,3,4,36
2015-01-23,521,0,1,10
2015-01-24,525,0,0,0
2015-01-25,539,0,0,0
2015-01-26,529,1,14,10
2015-01-27,601,0,12,21
2015-01-28,532,0,14,10
2015-01-29,25,1,7,10
2015-01-30,44,0,3,47
2015-01-31,781,0,0,0
2015-02-01,523,0,0,15
2015-02-02,26,0,6,25
2015-02-03,788,0,16,34
2015-02-04,529,1,11,18
2015-02-05,535,1,8,0
2015-02-06,672,1,6,40
2015-02-07,264,0,3,11
2015-02-08,527,0,0,22
2015-02-09,520,1,5,5
2015-02-10,335,2,19,10
2015-02-11,393,1,9,58
2015-02-12,604,1,7,18
2015-02-13,598,0,5,20
2015-02-14,24,0,0,8
2015-02-15,506,1,0,4
2015-02-16,526,3,0,19
2015-02-17,6573,3,2,8
2015-02-18,798,5,1,8
2015-02-19,726,1,4,31
2015-02-20,718,0,6,19
2015-02-21,304,0,0,4
2015-02-22,311,0,0,1
2015-02-23,37,1,15,12
2015-02-24,560,1,18,22
2015-02-25,41,3,9,23
2015-02-26,49,0,4,3
2015-02-27,58,4,9,13
2015-02-28,39,0,0,9
2015-03-01,26,0,1,0
2015-03-02,817,0,8,5
2015-03-03,24429,2,14,7
2015-03-04,709,4,7,5
2015-03-05,1470,1,8,8
2015-03-06,649,2,12,11
2015-03-07,1756,1,0,11
2015-03-08,696,0,0,7
2015-03-09,557,1,7,49
2015-03-10,460,1,13,8
2015-03-11,635,2,4,47
2015-03-12,477,0,11,19
2015-03-13,510,0,7,25
2015-03-14,482,0,0,12
2015-03-15,471,0,0,1
2015-03-16,467,0,6,10
2015-03-17,476,0,13,7
2015-03-18,486,1,9,37
2015-03-19,479,4,9,18
2015-03-20,516,1,6,7
2015-03-21,498,0,1,3
2015-03-22,507,0,0,1
2015-03-23,717,0,0,9
2015-03-24,506,1,6,23
2015-03-25,478,0,7,13
2015-03-26,13350,0,10,24
2015-03-27,2106,0,9,21
2015-03-28,2992,1,1,3
2015-03-29,1161,0,0,12
2015-03-30,1748,2,8,23
2015-03-31,1817,2,9,20
2015-04-01,2054,1,10,40
2015-04-02,2453,0,7,0
2015-04-03,1111,0,8,30
2015-04-04,1595,0,0,2
2015-04-05,1637,0,0,6
2015-04-06,2014,1,6,15
2015-04-07,1899,0,8,2
2015-04-08,1821,0,2,20
2015-04-09,1483,3,0,0
2015-04-10,1475,0,0,99
2015-04-11,1826,0,0,3
2015-04-12,2275,1,0,0
2015-04-13,2160,4,6,19
2015-04-14,1425,2,21,64
2015-04-15,1497,6,6,10
2015-04-16,1950,0,2,92
2015-04-17,1753,1,9,11
2015-04-18,665,1,0,4
2015-04-19,956,0,0,17
2015-04-20,1826,0,2,0
2015-04-21,1739,0,5,63
2015-04-22,964,0,6,5
2015-04-23,1950,0,9,2
2015-04-24,1641,0,2,20
