infoin,type,count,group
Description,MI,74.1635,Information type (STIX 1)
Description,AP,23.1225,Information type (STIX 1)
Description,TA,8.4995,Information type (STIX 1)
Description,TI,58.1589,Information type (STIX 1)
Object/Attr,MI,2.2335,Information type (STIX 1)
Object/Attr,AP,114.0838,Information type (STIX 1)
Object/Attr,TA,7.7064,Information type (STIX 1)
Object/Attr,TI,23.3719,Information type (STIX 1)
Description,MI,83.3392,Information type (STIX 2)
Description,AP,156.7241,Information type (STIX 2)
Description,TA,9.9511,Information type (STIX 2)
Description,TI,0,Information type (STIX 2)
Object/Attr,MI,62.9166,Information type (STIX 2)
Object/Attr,AP,2.9274,Information type (STIX 2)
Object/Attr,TA,139.166,Information type (STIX 2)
Object/Attr,TI,0,Information type (STIX 2)
